# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
2172;0069 0069 0069;(ⅲ) (iii);(SMALL ROMAN NUMERAL THREE) (LATIN SMALL LETTER I  LATIN SMALL LETTER I  LATIN SMALL LETTER I)
2173;0069 0076;(ⅳ) (iv);(SMALL ROMAN NUMERAL FOUR) (LATIN SMALL LETTER I  LATIN SMALL LETTER V)
2178;0069 0078;(ⅸ) (ix);(SMALL ROMAN NUMERAL NINE) (LATIN SMALL LETTER I  LATIN SMALL LETTER X)
2373;0069;(⍳) (i);(APL FUNCTIONAL SYMBOL IOTA) (LATIN SMALL LETTER I)
24D8;0069;(ⓘ) (i);(CIRCLED LATIN SMALL LETTER I) (LATIN SMALL LETTER I)
33CC;0069 006E;(㏌) (in);(SQUARE IN) (LATIN SMALL LETTER I  LATIN SMALL LETTER N)
FF49;0069;(ｉ) (i);(FULLWIDTH LATIN SMALL LETTER I) (LATIN SMALL LETTER I)
0237;006A;(ȷ) (j);(LATIN SMALL LETTER DOTLESS J) (LATIN SMALL LETTER J)
029D;006A;(ʝ) (j);(LATIN SMALL LETTER J WITH CROSSED-TAIL) (LATIN SMALL LETTER J)
02B2;006A;(ʲ) (j);(MODIFIER LETTER SMALL J) (LATIN SMALL LETTER J)
03F3;006A;(ϳ) (j);(GREEK LETTER YOT) (LATIN SMALL LETTER J)
0458;006A;(ј) (j);(CYRILLIC SMALL LETTER JE) (LATIN SMALL LETTER J)
0575;006A;(յ) (j);(ARMENIAN SMALL LETTER YI) (LATIN SMALL LETTER J)
1D423;006A;(𝐣) (j);(MATHEMATICAL BOLD SMALL J) (LATIN SMALL LETTER J)
1D457;006A;(𝑗) (j);(MATHEMATICAL ITALIC SMALL J) (LATIN SMALL LETTER J)
1D48B;006A;(𝒋) (j);(MATHEMATICAL BOLD ITALIC SMALL J) (LATIN SMALL LETTER J)
1D4BF;006A;(𝒿) (j);(MATHEMATICAL SCRIPT SMALL J) (LATIN SMALL LETTER J)
1D4F3;006A;(𝓳) (j);(MATHEMATICAL BOLD SCRIPT SMALL J) (LATIN SMALL LETTER J)
1D527;006A;(𝔧) (j);(MATHEMATICAL FRAKTUR SMALL J) (LATIN SMALL LETTER J)
1D55B;006A;(𝕛) (j);(MATHEMATICAL DOUBLE-STRUCK SMALL J) (LATIN SMALL LETTER J)
1D58F;006A;(𝖏) (j);(MATHEMATICAL BOLD FRAKTUR SMALL J) (LATIN SMALL LETTER J)
1D5C3;006A;(𝗃) (j);(MATHEMATICAL SANS-SERIF SMALL J) (LATIN SMALL LETTER J)
1D5F7;006A;(𝗷) (j);(MATHEMATICAL SANS-SERIF BOLD SMALL J) (LATIN SMALL LETTER J)
1D62B;006A;(𝘫) (j);(MATHEMATICAL SANS-SERIF ITALIC SMALL J) (LATIN SMALL LETTER J)
1D65F;006A;(𝙟) (j);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL J) (LATIN SMALL LETTER J)
1D693;006A;(𝚓) (j);(MATHEMATICAL MONOSPACE SMALL J) (LATIN SMALL LETTER J)
1D6A5;006A;(𝚥) (j);(MATHEMATICAL ITALIC SMALL DOTLESS J) (LATIN SMALL LETTER J)
2149;006A;(ⅉ) (j);(DOUBLE-STRUCK ITALIC SMALL J) (LATIN SMALL LETTER J)
24D9;006A;(ⓙ) (j);(CIRCLED LATIN SMALL LETTER J) (LATIN SMALL LETTER J)
FF4A;006A;(ｊ) (j);(FULLWIDTH LATIN SMALL LETTER J) (LATIN SMALL LETTER J)
0138;006B;(ĸ) (k);(LATIN SMALL LETTER KRA) (LATIN SMALL LETTER K)
0199;006B;(ƙ) (k);(LATIN SMALL LETTER K WITH HOOK) (LATIN SMALL LETTER K)
03BA;006B;(κ) (k);(GREEK SMALL LETTER KAPPA) (LATIN SMALL LETTER K)
03F0;006B;(ϰ) (k);(GREEK KAPPA SYMBOL) (LATIN SMALL LETTER K)
043A;006B;(к) (k);(CYRILLIC SMALL LETTER KA) (LATIN SMALL LETTER K)
049B;006B;(қ) (k);(CYRILLIC SMALL LETTER KA WITH DESCENDER) (LATIN SMALL LETTER K)
049F;006B;(ҟ) (k);(CYRILLIC SMALL LETTER KA WITH STROKE) (LATIN SMALL LETTER K)
1D0B;006B;(ᴋ) (k);(LATIN LETTER SMALL CAPITAL K) (LATIN SMALL LETTER K)
1D424;006B;(𝐤) (k);(MATHEMATICAL BOLD SMALL K) (LATIN SMALL LETTER K)
1D458;006B;(𝑘) (k);(MATHEMATICAL ITALIC SMALL K) (LATIN SMALL LETTER K)
1D48C;006B;(𝒌) (k);(MATHEMATICAL BOLD ITALIC SMALL K) (LATIN SMALL LETTER K)
1D4C0;006B;(𝓀) (k);(MATHEMATICAL SCRIPT SMALL K) (LATIN SMALL LETTER K)
1D4F;006B;(ᵏ) (k);(MODIFIER LETTER SMALL K) (LATIN SMALL LETTER K)
1D4F4;006B;(𝓴) (k);(MATHEMATICAL BOLD SCRIPT SMALL K) (LATIN SMALL LETTER K)
1D528;006B;(𝔨) (k);(MATHEMATICAL FRAKTUR SMALL K) (LATIN SMALL LETTER K)
1D55C;006B;(𝕜) (k);(MATHEMATICAL DOUBLE-STRUCK SMALL K) (LATIN SMALL LETTER K)
1D590;006B;(𝖐) (k);(MATHEMATICAL BOLD FRAKTUR SMALL K) (LATIN SMALL LETTER K)
1D5C4;006B;(𝗄) (k);(MATHEMATICAL SANS-SERIF SMALL K) (LATIN SMALL LETTER K)
1D5F8;006B;(𝗸) (k);(MATHEMATICAL SANS-SERIF BOLD SMALL K) (LATIN SMALL LETTER K)
1D62C;006B;(𝘬) (k);(MATHEMATICAL SANS-SERIF ITALIC SMALL K) (LATIN SMALL LETTER K)
1D660;006B;(𝙠) (k);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL K) (LATIN SMALL LETTER K)
1D694;006B;(𝚔) (k);(MATHEMATICAL MONOSPACE SMALL K) (LATIN SMALL LETTER K)
1D6CB;006B;(𝛋) (k);(MATHEMATICAL BOLD SMALL KAPPA) (LATIN SMALL LETTER K)
1D6DE;006B;(𝛞) (k);(MATHEMATICAL BOLD KAPPA SYMBOL) (LATIN SMALL LETTER K)
1D705;006B;(𝜅) (k);(MATHEMATICAL ITALIC SMALL KAPPA) (LATIN SMALL LETTER K)
1D718;006B;(𝜘) (k);(MATHEMATICAL ITALIC KAPPA SYMBOL) (LATIN SMALL LETTER K)
1D73F;006B;(𝜿) (k);(MATHEMATICAL BOLD ITALIC SMALL KAPPA) (LATIN SMALL LETTER K)
1D752;006B;(𝝒) (k);(MATHEMATICAL BOLD ITALIC KAPPA SYMBOL) (LATIN SMALL LETTER K)
1D779;006B;(𝝹) (k);(MATHEMATICAL SANS-SERIF BOLD SMALL KAPPA) (LATIN SMALL LETTER K)
1D78C;006B;(𝞌) (k);(MATHEMATICAL SANS-SERIF BOLD KAPPA SYMBOL) (LATIN SMALL LETTER K)
1D7B3;006B;(𝞳) (k);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL KAPPA) (LATIN SMALL LETTER K)
1D7C6;006B;(𝟆) (k);(MATHEMATICAL SANS-SERIF BOLD ITALIC KAPPA SYMBOL) (LATIN SMALL LETTER K)
24DA;006B;(ⓚ) (k);(CIRCLED LATIN SMALL LETTER K) (LATIN SMALL LETTER K)
2C95;006B;(ⲕ) (k);(COPTIC SMALL LETTER KAPA) (LATIN SMALL LETTER K)
3384;006B 0041;(㎄) (kA);(SQUARE KA) (LATIN SMALL LETTER K  LATIN CAPITAL LETTER A)
3389;006B 0063 0061 006C;(㎉) (kcal);(SQUARE KCAL) (LATIN SMALL LETTER K  LATIN SMALL LETTER C  LATIN SMALL LETTER A  LATIN SMALL LETTER L)
338F;006B 0067;(㎏) (kg);(SQUARE KG) (LATIN SMALL LETTER K  LATIN SMALL LETTER G)
3391;006B 0048 007A;(㎑) (kHz);(SQUARE KHZ) (LATIN SMALL LETTER K  LATIN CAPITAL LETTER H  LATIN SMALL LETTER Z)
3398;006B 006C;(㎘) (kl);(SQUARE KL) (LATIN SMALL LETTER K  LATIN SMALL LETTER L)
339E;006B 006D;(㎞) (km);(SQUARE KM) (LATIN SMALL LETTER K  LATIN SMALL LETTER M)
33A2;006B 006D 0032;(㎢) (km2);(SQUARE KM SQUARED) (LATIN SMALL LETTER K  LATIN SMALL LETTER M  DIGIT TWO)
33A6;006B 006D 0033;(㎦) (km3);(SQUARE KM CUBED) (LATIN SMALL LETTER K  LATIN SMALL LETTER M  DIGIT THREE)
33AA;006B 0050 0061;(㎪) (kPa);(SQUARE KPA) (LATIN SMALL LETTER K  LATIN CAPITAL LETTER P  LATIN SMALL LETTER A)
33B8;006B 0056;(㎸) (kV);(SQUARE KV) (LATIN SMALL LETTER K  LATIN CAPITAL LETTER V)
33BE;006B 0057;(㎾) (kW);(SQUARE KW) (LATIN SMALL LETTER K  LATIN CAPITAL LETTER W)
33CF;006B 0074;(㏏) (kt);(SQUARE KT) (LATIN SMALL LETTER K  LATIN SMALL LETTER T)
FF4B;006B;(ｋ) (k);(FULLWIDTH LATIN SMALL LETTER K) (LATIN SMALL LETTER K)
0140;006C;(ŀ) (l);(LATIN SMALL LETTER L WITH MIDDLE DOT) (LATIN SMALL LETTER L)
0142;006C;(ł) (l);(LATIN SMALL LETTER L WITH STROKE) (LATIN SMALL LETTER L)
019A;006C;(ƚ) (l);(LATIN SMALL LETTER L WITH BAR) (LATIN SMALL LETTER L)
01C9;006C 006A;(ǉ) (lj);(LATIN SMALL LETTER LJ) (LATIN SMALL LETTER L  LATIN SMALL LETTER J)
0234;006C;(ȴ) (l);(LATIN SMALL LETTER L WITH CURL) (LATIN SMALL LETTER L)
026B;006C;(ɫ) (l);(LATIN SMALL LETTER L WITH MIDDLE TILDE) (LATIN SMALL LETTER L)
026C;006C;(ɬ) (l);(LATIN SMALL LETTER L WITH BELT) (LATIN SMALL LETTER L)
026D;006C;(ɭ) (l);(LATIN SMALL LETTER L WITH RETROFLEX HOOK) (LATIN SMALL LETTER L)
02E1;006C;(ˡ) (l);(MODIFIER LETTER SMALL L) (LATIN SMALL LETTER L)
05DF;006C;(ן) (l);(HEBREW LETTER FINAL NUN) (LATIN SMALL LETTER L)
1D425;006C;(𝐥) (l);(MATHEMATICAL BOLD SMALL L) (LATIN SMALL LETTER L)
1D459;006C;(𝑙) (l);(MATHEMATICAL ITALIC SMALL L) (LATIN SMALL LETTER L)
1D48D;006C;(𝒍) (l);(MATHEMATICAL BOLD ITALIC SMALL L) (LATIN SMALL LETTER L)
1D4C1;006C;(𝓁) (l);(MATHEMATICAL SCRIPT SMALL L) (LATIN SMALL LETTER L)
1D4F5;006C;(𝓵) (l);(MATHEMATICAL BOLD SCRIPT SMALL L) (LATIN SMALL LETTER L)
1D529;006C;(𝔩) (l);(MATHEMATICAL FRAKTUR SMALL L) (LATIN SMALL LETTER L)
1D55D;006C;(𝕝) (l);(MATHEMATICAL DOUBLE-STRUCK SMALL L) (LATIN SMALL LETTER L)
1D591;006C;(𝖑) (l);(MATHEMATICAL BOLD FRAKTUR SMALL L) (LATIN SMALL LETTER L)
1D5C5;006C;(𝗅) (l);(MATHEMATICAL SANS-SERIF SMALL L) (LATIN SMALL LETTER L)
1D5F9;006C;(𝗹) (l);(MATHEMATICAL SANS-SERIF BOLD SMALL L) (LATIN SMALL LETTER L)
1D62D;006C;(𝘭) (l);(MATHEMATICAL SANS-SERIF ITALIC SMALL L) (LATIN SMALL LETTER L)
1D661;006C;(𝙡) (l);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL L) (LATIN SMALL LETTER L)
1D695;006C;(𝚕) (l);(MATHEMATICAL MONOSPACE SMALL L) (LATIN SMALL LETTER L)
2113;006C;(ℓ) (l);(SCRIPT SMALL L) (LATIN SMALL LETTER L)
217C;006C;(ⅼ) (l);(SMALL ROMAN NUMERAL FIFTY) (LATIN SMALL LETTER L)
24DB;006C;(ⓛ) (l);(CIRCLED LATIN SMALL LETTER L) (LATIN SMALL LETTER L)
33D0;006C 006D;(㏐) (lm);(SQUARE LM) (LATIN SMALL LETTER L  LATIN SMALL LETTER M)
33D1;006C 006E;(㏑) (ln);(SQUARE LN) (LATIN SMALL LETTER L  LATIN SMALL LETTER N)
33D2;006C 006F 0067;(㏒) (log);(SQUARE LOG) (LATIN SMALL LETTER L  LATIN SMALL LETTER O  LATIN SMALL LETTER G)
33D3;006C 0078;(㏓) (lx);(SQUARE LX) (LATIN SMALL LETTER L  LATIN SMALL LETTER X)
FF4C;006C;(ｌ) (l);(FULLWIDTH LATIN SMALL LETTER L) (LATIN SMALL LETTER L)
0271;006D;(ɱ) (m);(LATIN SMALL LETTER M WITH HOOK) (LATIN SMALL LETTER M)
028D;006D;(ʍ) (m);(LATIN SMALL LETTER TURNED W) (LATIN SMALL LETTER M)
1D426;006D;(𝐦) (m);(MATHEMATICAL BOLD SMALL M) (LATIN SMALL LETTER M)
1D45A;006D;(𝑚) (m);(MATHEMATICAL ITALIC SMALL M) (LATIN SMALL LETTER M)
1D48E;006D;(𝒎) (m);(MATHEMATICAL BOLD ITALIC SMALL M) (LATIN SMALL LETTER M)
1D4C2;006D;(𝓂) (m);(MATHEMATICAL SCRIPT SMALL M) (LATIN SMALL LETTER M)
1D4F6;006D;(𝓶) (m);(MATHEMATICAL BOLD SCRIPT SMALL M) (LATIN SMALL LETTER M)
1D50;006D;(ᵐ) (m);(MODIFIER LETTER SMALL M) (LATIN SMALL LETTER M)
1D52A;006D;(𝔪) (m);(MATHEMATICAL FRAKTUR SMALL M) (LATIN SMALL LETTER M)
1D55E;006D;(𝕞) (m);(MATHEMATICAL DOUBLE-STRUCK SMALL M) (LATIN SMALL LETTER M)
1D592;006D;(𝖒) (m);(MATHEMATICAL BOLD FRAKTUR SMALL M) (LATIN SMALL LETTER M)
1D5C6;006D;(𝗆) (m);(MATHEMATICAL SANS-SERIF SMALL M) (LATIN SMALL LETTER M)
1D5FA;006D;(𝗺) (m);(MATHEMATICAL SANS-SERIF BOLD SMALL M) (LATIN SMALL LETTER M)
1D62E;006D;(𝘮) (m);(MATHEMATICAL SANS-SERIF ITALIC SMALL M) (LATIN SMALL LETTER M)
1D662;006D;(𝙢) (m);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL M) (LATIN SMALL LETTER M)
1D696;006D;(𝚖) (m);(MATHEMATICAL MONOSPACE SMALL M) (LATIN SMALL LETTER M)
217F;006D;(ⅿ) (m);(SMALL ROMAN NUMERAL ONE THOUSAND) (LATIN SMALL LETTER M)
24DC;006D;(ⓜ) (m);(CIRCLED LATIN SMALL LETTER M) (LATIN SMALL LETTER M)
3383;006D 0041;(㎃) (mA);(SQUARE MA) (LATIN SMALL LETTER M  LATIN CAPITAL LETTER A)
338E;006D 0067;(㎎) (mg);(SQUARE MG) (LATIN SMALL LETTER M  LATIN SMALL LETTER G)
3396;006D 006C;(㎖) (ml);(SQUARE ML) (LATIN SMALL LETTER M  LATIN SMALL LETTER L)
339C;006D 006D;(㎜) (mm);(SQUARE MM) (LATIN SMALL LETTER M  LATIN SMALL LETTER M)
339F;006D 006D 0032;(㎟) (mm2);(SQUARE MM SQUARED) (LATIN SMALL LETTER M  LATIN SMALL LETTER M  DIGIT TWO)
33A1;006D 0032;(㎡) (m2);(SQUARE M SQUARED) (LATIN SMALL LETTER M  DIGIT TWO)
33A3;006D 006D 0033;(㎣) (mm3);(SQUARE MM CUBED) (LATIN SMALL LETTER M  LATIN SMALL LETTER M  DIGIT THREE)
33A5;006D 0033;(㎥) (m3);(SQUARE M CUBED) (LATIN SMALL LETTER M  DIGIT THREE)
33A7;006D 002F 0073;(㎧) (m/s);(SQUARE M OVER S) (LATIN SMALL LETTER M  SOLIDUS  LATIN SMALL LETTER S)
33A8;006D 002F 0073 0032;(㎨) (m/s2);(SQUARE M OVER S SQUARED) (LATIN SMALL LETTER M  SOLIDUS  LATIN SMALL LETTER S  DIGIT TWO)
33B3;006D 0073;(㎳) (ms);(SQUARE MS) (LATIN SMALL LETTER M  LATIN SMALL LETTER S)
33B7;006D 0056;(㎷) (mV);(SQUARE MV) (LATIN SMALL LETTER M  LATIN CAPITAL LETTER V)
33BD;006D 0057;(㎽) (mW);(SQUARE MW) (LATIN SMALL LETTER M  LATIN CAPITAL LETTER W)
33D4;006D 0062;(㏔) (mb);(SQUARE MB SMALL) (LATIN SMALL LETTER M  LATIN SMALL LETTER B)
33D5;006D 0069 006C;(㏕) (mil);(SQUARE MIL) (LATIN SMALL LETTER M  LATIN SMALL LETTER I  LATIN SMALL LETTER L)
33D6;006D 006F 006C;(㏖) (mol);(SQUARE MOL) (LATIN SMALL LETTER M  LATIN SMALL LETTER O  LATIN SMALL LETTER L)
FF4D;006D;(ｍ) (m);(FULLWIDTH LATIN SMALL LETTER M) (LATIN SMALL LETTER M)
0149;006E;(ŉ) (n);(LATIN SMALL LETTER N PRECEDED BY APOSTROPHE) (LATIN SMALL LETTER N)
019E;006E;(ƞ) (n);(LATIN SMALL LETTER N WITH LONG RIGHT LEG) (LATIN SMALL LETTER N)
01CC;006E 006A;(ǌ) (nj);(LATIN SMALL LETTER NJ) (LATIN SMALL LETTER N  LATIN SMALL LETTER J)
0235;006E;(ȵ) (n);(LATIN SMALL LETTER N WITH CURL) (LATIN SMALL LETTER N)
0272;006E;(ɲ) (n);(LATIN SMALL LETTER N WITH LEFT HOOK) (LATIN SMALL LETTER N)
0273;006E;(ɳ) (n);(LATIN SMALL LETTER N WITH RETROFLEX HOOK) (LATIN SMALL LETTER N)
03B7;006E;(η) (n);(GREEK SMALL LETTER ETA) (LATIN SMALL LETTER N)
03C0;006E;(π) (n);(GREEK SMALL LETTER PI) (LATIN SMALL LETTER N)
03D6;006E;(ϖ) (n);(GREEK PI SYMBOL) (LATIN SMALL LETTER N)
043F;006E;(п) (n);(CYRILLIC SMALL LETTER PE) (LATIN SMALL LETTER N)
0578;006E;(ո) (n);(ARMENIAN SMALL LETTER VO) (LATIN SMALL LETTER N)
057C;006E;(ռ) (n);(ARMENIAN SMALL LETTER RA) (LATIN SMALL LETTER N)
1D28;006E;(ᴨ) (n);(GREEK LETTER SMALL CAPITAL PI) (LATIN SMALL LETTER N)
1D427;006E;(𝐧) (n);(MATHEMATICAL BOLD SMALL N) (LATIN SMALL LETTER N)
1D45B;006E;(𝑛) (n);(MATHEMATICAL ITALIC SMALL N) (LATIN SMALL LETTER N)
1D48F;006E;(𝒏) (n);(MATHEMATICAL BOLD ITALIC SMALL N) (LATIN SMALL LETTER N)
1D4C3;006E;(𝓃) (n);(MATHEMATICAL SCRIPT SMALL N) (LATIN SMALL LETTER N)
1D4F7;006E;(𝓷) (n);(MATHEMATICAL BOLD SCRIPT SMALL N) (LATIN SMALL LETTER N)
1D52B;006E;(𝔫) (n);(MATHEMATICAL FRAKTUR SMALL N) (LATIN SMALL LETTER N)
1D55F;006E;(𝕟) (n);(MATHEMATICAL DOUBLE-STRUCK SMALL N) (LATIN SMALL LETTER N)
1D593;006E;(𝖓) (n);(MATHEMATICAL BOLD FRAKTUR SMALL N) (LATIN SMALL LETTER N)
1D5C7;006E;(𝗇) (n);(MATHEMATICAL SANS-SERIF SMALL N) (LATIN SMALL LETTER N)
1D5FB;006E;(𝗻) (n);(MATHEMATICAL SANS-SERIF BOLD SMALL N) (LATIN SMALL LETTER N)
1D62F;006E;(𝘯) (n);(MATHEMATICAL SANS-SERIF ITALIC SMALL N) (LATIN SMALL LETTER N)
1D663;006E;(𝙣) (n);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL N) (LATIN SMALL LETTER N)
1D697;006E;(𝚗) (n);(MATHEMATICAL MONOSPACE SMALL N) (LATIN SMALL LETTER N)
1D6C8;006E;(𝛈) (n);(MATHEMATICAL BOLD SMALL ETA) (LATIN SMALL LETTER N)
1D6D1;006E;(𝛑) (n);(MATHEMATICAL BOLD SMALL PI) (LATIN SMALL LETTER N)
1D6E1;006E;(𝛡) (n);(MATHEMATICAL BOLD PI SYMBOL) (LATIN SMALL LETTER N)
1D702;006E;(𝜂) (n);(MATHEMATICAL ITALIC SMALL ETA) (LATIN SMALL LETTER N)
1D70B;006E;(𝜋) (n);(MATHEMATICAL ITALIC SMALL PI) (LATIN SMALL LETTER N)
1D71B;006E;(𝜛) (n);(MATHEMATICAL ITALIC PI SYMBOL) (LATIN SMALL LETTER N)
1D73C;006E;(𝜼) (n);(MATHEMATICAL BOLD ITALIC SMALL ETA) (LATIN SMALL LETTER N)
1D745;006E;(𝝅) (n);(MATHEMATICAL BOLD ITALIC SMALL PI) (LATIN SMALL LETTER N)
1D755;006E;(𝝕) (n);(MATHEMATICAL BOLD ITALIC PI SYMBOL) (LATIN SMALL LETTER N)
1D776;006E;(𝝶) (n);(MATHEMATICAL SANS-SERIF BOLD SMALL ETA) (LATIN SMALL LETTER N)
1D77F;006E;(𝝿) (n);(MATHEMATICAL SANS-SERIF BOLD SMALL PI) (LATIN SMALL LETTER N)
1D78F;006E;(𝞏) (n);(MATHEMATICAL SANS-SERIF BOLD PI SYMBOL) (LATIN SMALL LETTER N)
1D7B0;006E;(𝞰) (n);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL ETA) (LATIN SMALL LETTER N)
1D7B9;006E;(𝞹) (n);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL PI) (LATIN SMALL LETTER N)
1D7C9;006E;(𝟉) (n);(MATHEMATICAL SANS-SERIF BOLD ITALIC PI SYMBOL) (LATIN SMALL LETTER N)
207F;006E;(ⁿ) (n);(SUPERSCRIPT LATIN SMALL LETTER N) (LATIN SMALL LETTER N)
213C;006E;(ℼ) (n);(DOUBLE-STRUCK SMALL PI) (LATIN SMALL LETTER N)
24DD;006E;(ⓝ) (n);(CIRCLED LATIN SMALL LETTER N) (LATIN SMALL LETTER N)
3381;006E 0041;(㎁) (nA);(SQUARE NA) (LATIN SMALL LETTER N  LATIN CAPITAL LETTER A)
338B;006E 0046;(㎋) (nF);(SQUARE NF) (LATIN SMALL LETTER N  LATIN CAPITAL LETTER F)
339A;006E 006D;(㎚) (nm);(SQUARE NM) (LATIN SMALL LETTER N  LATIN SMALL LETTER M)
33B1;006E 0073;(㎱) (ns);(SQUARE NS) (LATIN SMALL LETTER N  LATIN SMALL LETTER S)
33B5;006E 0056;(㎵) (nV);(SQUARE NV) (LATIN SMALL LETTER N  LATIN CAPITAL LETTER V)
33BB;006E 0057;(㎻) (nW);(SQUARE NW) (LATIN SMALL LETTER N  LATIN CAPITAL LETTER W)
FF4E;006E;(ｎ) (n);(FULLWIDTH LATIN SMALL LETTER N) (LATIN SMALL LETTER N)
00BA;006F;(º) (o);(MASCULINE ORDINAL INDICATOR) (LATIN SMALL LETTER O)
00F8;006F;(ø) (o);(LATIN SMALL LETTER O WITH STROKE) (LATIN SMALL LETTER O)
0153;006F 0065;(œ) (oe);(LATIN SMALL LIGATURE OE) (LATIN SMALL LETTER O  LATIN SMALL LETTER E)
0275;006F;(ɵ) (o);(LATIN SMALL LETTER BARRED O) (LATIN SMALL LETTER O)
0276;006F 0065;(ɶ) (oe);(LATIN LETTER SMALL CAPITAL OE) (LATIN SMALL LETTER O  LATIN SMALL LETTER E)
03BF;006F;(ο) (o);(GREEK SMALL LETTER OMICRON) (LATIN SMALL LETTER O)
03C3;006F;(σ) (o);(GREEK SMALL LETTER SIGMA) (LATIN SMALL LETTER O)
043E;006F;(о) (o);(CYRILLIC SMALL LETTER O) (LATIN SMALL LETTER O)
0473;006F;(ѳ) (o);(CYRILLIC SMALL LETTER FITA) (LATIN SMALL LETTER O)
04E9;006F;(ө) (o);(CYRILLIC SMALL LETTER BARRED O) (LATIN SMALL LETTER O)
0585;006F;(օ) (o);(ARMENIAN SMALL LETTER OH) (LATIN SMALL LETTER O)
05E1;006F;(ס) (o);(HEBREW LETTER SAMEKH) (LATIN SMALL LETTER O)
0665;006F;(٥) (o);(ARABIC-INDIC DIGIT FIVE) (LATIN SMALL LETTER O)
0966;006F;(०) (o);(DEVANAGARI DIGIT ZERO) (LATIN SMALL LETTER O)
09E6;006F;(০) (o);(BENGALI DIGIT ZERO) (LATIN SMALL LETTER O)
0A66;006F;(੦) (o);(GURMUKHI DIGIT ZERO) (LATIN SMALL LETTER O)
0AE6;006F;(૦) (o);(GUJARATI DIGIT ZERO) (LATIN SMALL LETTER O)
0BE6;006F;(௦) (o);(TAMIL DIGIT ZERO) (LATIN SMALL LETTER O)
0D20;006F;(ഠ) (o);(MALAYALAM LETTER TTHA) (LATIN SMALL LETTER O)
0D66;006F;(൦) (o);(MALAYALAM DIGIT ZERO) (LATIN SMALL LETTER O)
0E50;006F;(๐) (o);(THAI DIGIT ZERO) (LATIN SMALL LETTER O)
0ED0;006F;(໐) (o);(LAO DIGIT ZERO) (LATIN SMALL LETTER O)
101D;006F;(ဝ) (o);(MYANMAR LETTER WA) (LATIN SMALL LETTER O)
1040;006F;(၀) (o);(MYANMAR DIGIT ZERO) (LATIN SMALL LETTER O)
1D0F;006F;(ᴏ) (o);(LATIN LETTER SMALL CAPITAL O) (LATIN SMALL LETTER O)
1D11;006F;(ᴑ) (o);(LATIN SMALL LETTER SIDEWAYS O) (LATIN SMALL LETTER O)
1D428;006F;(𝐨) (o);(MATHEMATICAL BOLD SMALL O) (LATIN SMALL LETTER O)
1D45C;006F;(𝑜) (o);(MATHEMATICAL ITALIC SMALL O) (LATIN SMALL LETTER O)
1D490;006F;(𝒐) (o);(MATHEMATICAL BOLD ITALIC SMALL O) (LATIN SMALL LETTER O)
1D4F8;006F;(𝓸) (o);(MATHEMATICAL BOLD SCRIPT SMALL O) (LATIN SMALL LETTER O)
1D52;006F;(ᵒ) (o);(MODIFIER LETTER SMALL O) (LATIN SMALL LETTER O)
1D52C;006F;(𝔬) (o);(MATHEMATICAL FRAKTUR SMALL O) (LATIN SMALL LETTER O)
1D560;006F;(𝕠) (o);(MATHEMATICAL DOUBLE-STRUCK SMALL O) (LATIN SMALL LETTER O)
1D594;006F;(𝖔) (o);(MATHEMATICAL BOLD FRAKTUR SMALL O) (LATIN SMALL LETTER O)
1D5C8;006F;(𝗈) (o);(MATHEMATICAL SANS-SERIF SMALL O) (LATIN SMALL LETTER O)
1D5FC;006F;(𝗼) (o);(MATHEMATICAL SANS-SERIF BOLD SMALL O) (LATIN SMALL LETTER O)
1D630;006F;(𝘰) (o);(MATHEMATICAL SANS-SERIF ITALIC SMALL O) (LATIN SMALL LETTER O)
1D664;006F;(𝙤) (o);(MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL O) (LATIN SMALL LETTER O)
1D698;006F;(𝚘) (o);(MATHEMATICAL MONOSPACE SMALL O) (LATIN SMALL LETTER O)
1D6D0;006F;(𝛐) (o);(MATHEMATICAL BOLD SMALL OMICRON) (LATIN SMALL LETTER O)
1D6D4;006F;(𝛔) (o);(MATHEMATICAL BOLD SMALL SIGMA) (LATIN SMALL LETTER O)
1D70A;006F;(𝜊) (o);(MATHEMATICAL ITALIC SMALL OMICRON) (LATIN SMALL LETTER O)
